START_DATE,END_DATE,START,STOP,MILES,date,hour,day-night,CATEGORY_Business,CATEGORY_Personal,PURPOSE_Between Offices,PURPOSE_Customer Visit,PURPOSE_Errand/Supplies,PURPOSE_Meal/Entertain,PURPOSE_Meeting,PURPOSE_NOT,PURPOSE_Temporary Site,MONTH,DAY
2016-01-01 21:11:00,2016-01-01 21:17:00,Fort Pierce,Fort Pierce,5.1,2016-01-01,21.0,Night,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan,Fri
2016-01-02 01:25:00,2016-01-02 01:37:00,Fort Pierce,Fort Pierce,5.0,2016-01-02,1.0,Morning,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Jan,Sat
2016-01-02 20:25:00,2016-01-02 20:38:00,Fort Pierce,Fort Pierce,4.8,2016-01-02,20.0,Night,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jan,Sat
2016-01-05 17:31:00,2016-01-05 17:45:00,Fort Pierce,Fort Pierce,4.7,2016-01-05,17.0,Evening,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Jan,Tues
2016-01-06 14:42:00,2016-01-06 15:49:00,Fort Pierce,West Palm Beach,63.7,2016-01-06,14.0,Afternoon,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jan,Wed
2016-01-06 17:15:00,2016-01-06 17:19:00,West Palm Beach,West Palm Beach,4.3,2016-01-06,17.0,Evening,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan,Wed
2016-01-06 17:30:00,2016-01-06 17:35:00,West Palm Beach,Palm Beach,7.1,2016-01-06,17.0,Evening,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Jan,Wed
2016-01-07 13:27:00,2016-01-07 13:33:00,Cary,Cary,0.8,2016-01-07,13.0,Afternoon,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Jan,Thus
2016-01-10 08:05:00,2016-01-10 08:25:00,Cary,Morrisville,8.3,2016-01-10,8.0,Morning,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Jan,Sun
2016-01-10 12:17:00,2016-01-10 12:44:00,Jamaica,New York,16.5,2016-01-10,12.0,Afternoon,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jan,Sun
2016-01-10 15:08:00,2016-01-10 15:51:00,New York,Queens,10.8,2016-01-10,15.0,Evening,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Jan,Sun
2016-01-10 18:18:00,2016-01-10 18:53:00,Elmhurst,New York,7.5,2016-01-10,18.0,Evening,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Jan,Sun
2016-01-10 19:12:00,2016-01-10 19:32:00,Midtown,East Harlem,6.2,2016-01-10,19.0,Night,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Jan,Sun
2016-01-11 08:55:00,2016-01-11 09:21:00,East Harlem,NoMad,6.4,2016-01-11,8.0,Morning,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Jan,Mon
